subplot,plot,year,dens_m2,cv_hgt,mean_hgt,sp_richness,shannon_sp,evenness_sp,effective_numbers,dens_ha,CWM_shade,CWM_drought,clear_intensity,grndwrk_intensity,logging_trail_intensity,planting_intensity,anti_browsing_intensity,spruce_share,IV,IVmax_species,year_f,cv_hgt_pos,cv_hgt_present,active_regeneration,region,country,country_name,IV_coniferous,IV_deciduous,x,y,plot_id,disturbance_year,disturbance_severity,elevation,slope,aspect,dist_to_edge
11_25_175_5,25_175,2023,0,0,0,0,0,0,1e-04,0,,,0,0,0.2,0,0,,,absp,2023,1e-04,0,0,25,11,Germany,0,0,4386295.30102941,3364288.71857574,25_175,2018,0.449560791254044,45.0671920776367,0,90,60
120_T1_JC_20250717,15_120,2025,1,0.736842105263158,1.425,2,1.03972077083992,1.5,2.82842712474619,10000,2.46125,2.76875,1,1,0,1,1,0,0.796052631578947,qusp,2025,0.736842105263158,1,1,15,13,Czech Republic,0,1,4782461.56423277,2917710.76806337,15_120,2018,0.991997420787811,421.680145263672,6.51304566240842,180,30
121_T1_JC_20250717,15_144,2025,0,0,0,0,0,0,1e-04,0,,,1,0,0,0.2,0,,,"",2025,1e-04,0,0.1,15,13,Czech Republic,0,0,4790121.72379312,2920370.76495104,15_144,2018,0.99794328212738,463.123168945313,8.94772633569703,270,42
122_T1_JC_20250717,15_144,2025,0,0,0,0,0,0,1e-04,0,,,1,0,0,0.2,0,,,"",2025,1e-04,0,0.1,15,13,Czech Republic,0,0,4790141.89476565,2920390.82609579,15_144,2018,0.988111078739166,472.570129394531,8.94772633569703,270,30
123_T1_JC_20250717,15_144,2025,0.25,0,10,1,0,0,1,2500,3.97,2.66,1,0,0,0.2,0,0,1,cabe,2025,1e-04,0,0.1,15,13,Czech Republic,0,1,4790141.95077199,2920370.94132602,15_144,2018,0.988111078739166,472.570129394531,8.94772633569703,270,30
124_T1_JC_20250717,15_144,2025,0,0,0,0,0,0,1e-04,0,,,1,0,0,0.2,0,,,"",2025,1e-04,0,0.1,15,13,Czech Republic,0,0,4790142.14682506,2920351.12595366,15_144,2018,0.699946999549866,472.570129394531,10.9676581943165,223.632437949593,30
125_T1_JC_20250717,15_144,2025,0,0,0,0,0,0,1e-04,0,,,1,0,0,0.2,0,,,"",2025,1e-04,0,0.1,15,13,Czech Republic,0,0,4790161.88658608,2920370.8049718,15_144,2018,0.988111078739166,472.570129394531,8.94772633569703,270,30
126_T1_JC_20250717,15_133,2025,0,0,0,0,0,0,1e-04,0,,,1,0.4,0,0.8,1,,,"",2025,1e-04,0,0.9,15,13,Czech Republic,0,0,4721942.38880848,2896550.83262604,15_133,2018,0.99997740983963,568.725646972656,2.35469890847102,270,95
127_T1_JC_20250717,15_133,2025,0.5,0,3,2,0.693147180559945,1,2,5000,1.7,1.935,1,0.4,0,0.8,1,0,0.5,besp,2025,1e-04,0,0.9,15,13,Czech Republic,0.5,0.5,4721922.2767397,2896530.4692588,15_133,2018,0.999937117099762,568.725646972656,6.21490825803896,337.536604410101,95
128_T1_JC_20250717,15_133,2025,0.5,1.06686286284286,2.85,2,0.693147180559945,1,2,5000,1.945,3.595,1,0.4,0,0.8,1,0,0.68859649122807,potr,2025,1.06686286284286,1,0.9,15,13,Czech Republic,0.31140350877193,0.68859649122807,4721922.56705354,2896551.40447837,15_133,2018,0.99997740983963,568.725646972656,2.35469890847102,270,95
