subplot,plot,year,dens_m2,cv_hgt,mean_hgt,sp_richness,shannon_sp,evenness_sp,effective_numbers,dens_ha,pre_dist_trees_n,area_m2,pre_dist_dens_ha,time_snc_full_disturbance,disturbance_year,forest_year,disturbance_length,CWM_shade,CWM_drought,clear_intensity,grndwrk_intensity,logging_trail_intensity,planting_intensity,anti_browsing_intensity,spruce_share,IV,IVmax_species,year_f,cv_hgt_pos,cv_hgt_present,active_regeneration,region,country,country_name,IV_coniferous,IV_deciduous,x,y,plot_id,slope,aspect
642_T2_AH_20250827,113,2025,0,0,0,0,0,0,1e-04,0,33,1162.56740281242,283.854509598052,5,2020,2018,2,,,0.8,0,0,0.6,0,,,absp,2025,1e-04,0,0.3,,13,Czech Republic,0,0,4817326.25561856,2938466.28280306,113,5.79874719069525,147.694792745339
643_T2_AH_20250827,114,2025,0.25,0,1.2,1,0,0,1,2500,44,1167.21044013463,376.96715593912,5,2020,2018,2,1.46,2.31,0.8,0,0,0.6,0,0,1,lade,2025,1e-04,0,0.3,,13,Czech Republic,1,0,4818506.07006938,2929306.46928352,114,1.4039716284001,355.830615959626
644_T2_AH_20250827,114,2025,0.75,0,0.3,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,44,1167.21044013463,376.96715593912,5,2020,2018,2,4.27,2.41666666666667,0.8,0,0,0.6,0,0.5,0.666666666666667,tisp,2025,1e-04,0,0.3,,13,Czech Republic,0.333333333333333,0.666666666666667,4818506.21962316,2929326.28335309,114,1.80065184046735,307.431852433645
645_T2_AH_20250827,114,2025,0,0,0,0,0,0,1e-04,0,44,1167.21044013463,376.96715593912,5,2020,2018,2,,,0.8,0,0,0.6,0,,,"",2025,1e-04,0,0.3,,13,Czech Republic,0,0,4818485.83951055,2929306.46921609,114,1.4039716284001,355.830615959626
646_T2_AH_20250827,114,2025,0.5,0,0.3,1,0,0,1,5000,44,1167.21044013463,376.96715593912,5,2020,2018,2,4.45,1.75,0.8,0,0,0.6,0,1,1,piab,2025,1e-04,0,0.3,,13,Czech Republic,1,0,4818506.05200476,2929286.47976681,114,1.4039716284001,355.830615959626
647_T2_AH_20250827,114,2025,0.5,0,0.3,1,0,0,1,5000,44,1167.21044013463,376.96715593912,5,2020,2018,2,4.18,2.75,0.8,0,0,0.6,0,0,1,tisp,2025,1e-04,0,0.3,,13,Czech Republic,0,1,4818526.03595477,2929306.51175033,114,0.911848745510326,169.082730651682
648_T2_AH_20250827,115,2025,0.25,0,0.3,1,0,0,1,2500,48,1178.13459596306,407.423737189916,5,2020,2018,2,4.56,2.4,0.8,0,0,0.8,0.2,0,1,fasy,2025,1e-04,0,0.5,,13,Czech Republic,0,1,4769446.1364256,2934906.362917,115,4.14624143839161,152.951177511606
649_T2_AH_20250827,115,2025,1.5,0.698877494319366,0.733333333333333,3,1.01140426470735,0.920619835714305,2.74945927399721,15000,48,1178.13459596306,407.423737189916,5,2020,2018,2,2.57333333333333,2.215,0.8,0,0,0.8,0.2,0,0.488636363636364,lade,2025,0.698877494319366,1,0.5,,13,Czech Republic,0.488636363636364,0.511363636363637,4769466.13168251,2934886.51856353,115,4.14624143839161,152.951177511606
650_T2_AH_20250827,115,2025,0,0,0,0,0,0,1e-04,0,48,1178.13459596306,407.423737189916,5,2020,2018,2,,,0.8,0,0,0.8,0.2,,,"",2025,1e-04,0,0.5,,13,Czech Republic,0,0,4769446.06997014,2934886.54244396,115,4.14624143839161,152.951177511606
651_T2_AH_20250827,115,2025,0.5,0,0.3,1,0,0,1,5000,48,1178.13459596306,407.423737189916,5,2020,2018,2,4.56,2.4,0.8,0,0,0.8,0.2,0,1,fasy,2025,1e-04,0,0.5,,13,Czech Republic,0,1,4769446.05292791,2934866.23936286,115,4.14624143839161,152.951177511606
652_T2_AH_20250827,115,2025,1.75,0.340440425724165,0.528571428571429,3,1.07899220787758,0.982141032834875,2.94171342108318,17500,48,1178.13459596306,407.423737189916,5,2020,2018,2,2.40571428571429,2.91571428571429,0.8,0,0,0.8,0.2,0,0.498069498069498,lade,2025,0.340440425724165,1,0.5,,13,Czech Republic,0.776061776061776,0.223938223938224,4769425.80629662,2934886.52369891,115,4.14624143839161,152.951177511606
301_T3_JL_20250717,116,2025,2.25,0,0.7,1,0.686961576597323,0,1.98766697500242,22500,28,977.347776008653,286.489627206683,5,2020,2019,1,2.59,2.985,1,0,0,1,0,0,1,qusp,2025,1e-04,0,0.5,,13,Czech Republic,0,1,4735165.19247807,2979705.2547424,116,4.9241502414214,164.794418846462
302_T3_JL_20250717,116,2025,0.75,1.94248565072931e-16,0.7,1,0,0,1,7500,28,977.347776008653,286.489627206683,5,2020,2019,1,2.59,2.985,1,0,0,1,0,0,1,qusp,2025,1.94248565072931e-16,1,0.5,,13,Czech Republic,0,1,4735143.7173351,2979719.16476406,116,4.9241502414214,164.794418846462
303_T3_JL_20250717,116,2025,0.75,0.407541366486795,0.566666666666667,2,0.636514168294813,0.918295834054489,1.88988157484231,7500,28,977.347776008653,286.489627206683,5,2020,2019,1,3.21,2.57333333333333,1,0,0,1,0,0.5,0.745098039215686,qusp,2025,0.407541366486795,1,0.5,,13,Czech Republic,0.254901960784314,0.745098039215686,4735146.09436531,2979706.50328698,116,4.9241502414214,164.794418846462
304_T3_JL_20250717,116,2025,1,0,0.7,1,0,0,1,10000,28,977.347776008653,286.489627206683,5,2020,2019,1,2.59,2.985,1,0,0,1,0,0,1,qusp,2025,1e-04,0,0.5,,13,Czech Republic,0,1,4735125.94960754,2979706.40111349,116,4.9241502414214,164.794418846462
305_T3_JL_20250717,116,2025,0.25,0,0.5,1,0,0,1,2500,28,977.347776008653,286.489627206683,5,2020,2019,1,2.59,2.985,1,0,0,1,0,0,1,qusp,2025,1e-04,0,0.5,,13,Czech Republic,0,1,4735146.02621483,2979686.40835573,116,4.9241502414214,164.794418846462
312_T3_JL_20250717,118,2025,1.75,0.574406534639023,2.17142857142857,1,0.410116318288409,0,1.50699306577254,17500,26,1179.55149563681,220.422763195796,5,2020,2019,1,4.45,1.75,0.6,0,0.4,0.6,0.2,1,1,piab,2025,0.574406534639023,1,0.4,,13,Czech Republic,1,0,4734866.19616122,2979726.39647067,118,4.13264631347885,294.029672917998
313_T3_JL_20250717,118,2025,0.5,0,0.5,1,0,0,1,5000,26,1179.55149563681,220.422763195796,5,2020,2019,1,2.59,2.985,0.6,0,0.4,0.6,0.2,0,1,qusp,2025,1e-04,0,0.4,,13,Czech Republic,0,1,4734886.08275428,2979726.29000561,118,4.13264631347885,294.029672917998
