species_id,species,vegtype,hgt,n,dbh,dmg_bool,celkovy_pocet_poskoz,percentage_damage,dmg_jedinec,dmg_type,dmg_terminal,dmg_term_similar,tot_dmg_terminal,dmg_foliage,dmg_foliage_similar,tot_dmg_foliage,dmg_foliage_leaf_int,dmg_stem,dmg_stem_numeric,dmg_stem_cause,dmg_stem_horizont,dmg_stem_vertical,dmg_stem_grass,dmg_term_sample,dmg_stem_sample,dmg_foliage_sample,subplot,stump,clear,grndwrk,logging_trail,windthrow,standing_deadwood,planting,anti_browsing,comments,photo_sur_n,photo_sur_e,photo_sur_s,photo_sur_w,time,x,y,photo_e,photo_n,naruseni,plot,n_plots,hgt_est,dbh_est
18,SM,advanced,2–4,4,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,708_T4_TP_20250827,NA,1,NA,NA,NA,1,NA,0,NA,DCIM/context_n20250724130944897.jpg,DCIM/context_e20250724130940598.jpg,DCIM/context_s20250724130935012.jpg,DCIM/context_w20250724130929362.jpg,2025-07-24T13:09:05Z,15.38027742,49.5451182,DCIM/plot_e_20250724130733120.jpg,DCIM/plot_n_20250724130741245.jpg,TRUE,179,5,3,3
18,SM,small,1.3–2.0,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,708_T4_TP_20250827,NA,1,NA,NA,NA,1,NA,0,NA,DCIM/context_n20250724130944897.jpg,DCIM/context_e20250724130940598.jpg,DCIM/context_s20250724130935012.jpg,DCIM/context_w20250724130929362.jpg,2025-07-24T13:09:05Z,15.38027742,49.5451182,DCIM/plot_e_20250724130733120.jpg,DCIM/plot_n_20250724130741245.jpg,TRUE,179,5,1.7,1.7
17,MD,small,0.6–0.8,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,709_T4_TP_20250827,NA,1,NA,1,NA,1,NA,0,NA,DCIM/context_n20250724131452208.jpg,DCIM/context_e20250724131447075.jpg,DCIM/context_s20250724131440309.jpg,DCIM/context_w20250724131435176.jpg,2025-07-24T13:13:53Z,15.38000821,49.54513065,DCIM/plot_e_20250724131243004.jpg,DCIM/plot_n_20250724131249441.jpg,TRUE,179,5,0.7,0.7
18,SM,advanced,>4,6,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,710_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724132309354.jpg,DCIM/context_e20250724132303841.jpg,DCIM/context_s20250724132258104.jpg,DCIM/context_w20250724132252515.jpg,2025-07-24T13:22:20Z,15.37973337,49.5451432,DCIM/plot_e_20250724131859235.jpg,DCIM/plot_n_20250724131905176.jpg,TRUE,179,5,5,5
27,JIV,advanced,2–4,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,711_T4_TP_20250827,NA,1,NA,NA,NA,1,NA,0,NA,DCIM/context_n20250724132831715.jpg,DCIM/context_e20250724132827071.jpg,DCIM/context_s20250724132822153.jpg,DCIM/context_w20250724132817653.jpg,2025-07-24T13:27:53Z,15.37998403,49.54495333,DCIM/plot_e_20250724132628563.jpg,DCIM/plot_n_20250724132636130.jpg,TRUE,179,5,3,3
18,SM,small,1.3–2.0,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,711_T4_TP_20250827,NA,1,NA,NA,NA,1,NA,0,NA,DCIM/context_n20250724132831715.jpg,DCIM/context_e20250724132827071.jpg,DCIM/context_s20250724132822153.jpg,DCIM/context_w20250724132817653.jpg,2025-07-24T13:27:53Z,15.37998403,49.54495333,DCIM/plot_e_20250724132628563.jpg,DCIM/plot_n_20250724132636130.jpg,TRUE,179,5,1.7,1.7
17,MD,advanced,2–4,2,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,712_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724135410724.jpg,DCIM/context_e20250724135405849.jpg,DCIM/context_s20250724135401762.jpg,DCIM/context_w20250724135356645.jpg,2025-07-24T13:53:12Z,15.38592353,49.5435844,DCIM/plot_e_20250724135043460.jpg,DCIM/plot_n_20250724135052548.jpg,TRUE,78,5,3,3
20,OS,advanced,2–4,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,712_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724135410724.jpg,DCIM/context_e20250724135405849.jpg,DCIM/context_s20250724135401762.jpg,DCIM/context_w20250724135356645.jpg,2025-07-24T13:53:12Z,15.38592353,49.5435844,DCIM/plot_e_20250724135043460.jpg,DCIM/plot_n_20250724135052548.jpg,TRUE,78,5,3,3
20,OS,small,1.3–2.0,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,712_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724135410724.jpg,DCIM/context_e20250724135405849.jpg,DCIM/context_s20250724135401762.jpg,DCIM/context_w20250724135356645.jpg,2025-07-24T13:53:12Z,15.38592353,49.5435844,DCIM/plot_e_20250724135043460.jpg,DCIM/plot_n_20250724135052548.jpg,TRUE,78,5,1.7,1.7
13,BK,small,1.3–2.0,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,713_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724140107472.jpg,DCIM/context_e20250724140102721.jpg,DCIM/context_s20250724140057904.jpg,DCIM/context_w20250724140052433.jpg,2025-07-24T14:00:26Z,15.38622472,49.5437552,DCIM/plot_e_20250724135704276.jpg,DCIM/plot_n_20250724135711011.jpg,TRUE,78,5,1.7,1.7
17,MD,small,0.4–0.6,2,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,713_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724140107472.jpg,DCIM/context_e20250724140102721.jpg,DCIM/context_s20250724140057904.jpg,DCIM/context_w20250724140052433.jpg,2025-07-24T14:00:26Z,15.38622472,49.5437552,DCIM/plot_e_20250724135704276.jpg,DCIM/plot_n_20250724135711011.jpg,TRUE,78,5,0.5,0.5
18,SM,small,0.4–0.6,2,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,713_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724140107472.jpg,DCIM/context_e20250724140102721.jpg,DCIM/context_s20250724140057904.jpg,DCIM/context_w20250724140052433.jpg,2025-07-24T14:00:26Z,15.38622472,49.5437552,DCIM/plot_e_20250724135704276.jpg,DCIM/plot_n_20250724135711011.jpg,TRUE,78,5,0.5,0.5
10,BR,small,0.6–0.8,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,713_T4_TP_20250827,NA,1,NA,NA,NA,NA,NA,0,NA,DCIM/context_n20250724140107472.jpg,DCIM/context_e20250724140102721.jpg,DCIM/context_s20250724140057904.jpg,DCIM/context_w20250724140052433.jpg,2025-07-24T14:00:26Z,15.38622472,49.5437552,DCIM/plot_e_20250724135704276.jpg,DCIM/plot_n_20250724135711011.jpg,TRUE,78,5,0.7,0.7
13,BK,small,0.8–1.0,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,714_T4_TP_20250827,1,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724140633588.jpg,DCIM/context_e20250724140628491.jpg,DCIM/context_s20250724140624284.jpg,DCIM/context_w20250724140619267.jpg,2025-07-24T14:05:53Z,15.38594901,49.54376574,DCIM/plot_e_20250724140245588.jpg,DCIM/plot_n_20250724140255627.jpg,TRUE,78,5,0.9,0.9
18,SM,small,0.4–0.6,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,714_T4_TP_20250827,1,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724140633588.jpg,DCIM/context_e20250724140628491.jpg,DCIM/context_s20250724140624284.jpg,DCIM/context_w20250724140619267.jpg,2025-07-24T14:05:53Z,15.38594901,49.54376574,DCIM/plot_e_20250724140245588.jpg,DCIM/plot_n_20250724140255627.jpg,TRUE,78,5,0.5,0.5
10,BR,small,0.6–0.8,4,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,714_T4_TP_20250827,1,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724140633588.jpg,DCIM/context_e20250724140628491.jpg,DCIM/context_s20250724140624284.jpg,DCIM/context_w20250724140619267.jpg,2025-07-24T14:05:53Z,15.38594901,49.54376574,DCIM/plot_e_20250724140245588.jpg,DCIM/plot_n_20250724140255627.jpg,TRUE,78,5,0.7,0.7
28,VRX,small,0.4–0.6,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,714_T4_TP_20250827,1,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724140633588.jpg,DCIM/context_e20250724140628491.jpg,DCIM/context_s20250724140624284.jpg,DCIM/context_w20250724140619267.jpg,2025-07-24T14:05:53Z,15.38594901,49.54376574,DCIM/plot_e_20250724140245588.jpg,DCIM/plot_n_20250724140255627.jpg,TRUE,78,5,0.5,0.5
18,SM,small,1.3–2.0,4,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,715_T4_TP_20250827,NA,1,NA,NA,1,1,NA,1,Repelent,DCIM/context_n20250724143800932.jpg,DCIM/context_e20250724143756047.jpg,DCIM/context_s20250724143751107.jpg,DCIM/context_w20250724143747086.jpg,2025-07-24T14:37:14Z,15.36828541,49.64446651,DCIM/plot_e_20250724143544514.jpg,DCIM/plot_n_20250724143553351.jpg,TRUE,79,5,1.7,1.7
19,BO,small,1.3–2.0,3,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,715_T4_TP_20250827,NA,1,NA,NA,1,1,NA,1,Repelent,DCIM/context_n20250724143800932.jpg,DCIM/context_e20250724143756047.jpg,DCIM/context_s20250724143751107.jpg,DCIM/context_w20250724143747086.jpg,2025-07-24T14:37:14Z,15.36828541,49.64446651,DCIM/plot_e_20250724143544514.jpg,DCIM/plot_n_20250724143553351.jpg,TRUE,79,5,1.7,1.7
18,SM,small,1.0–1.3,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,716_T4_TP_20250827,NA,1,NA,NA,1,NA,1,1,Repelent,DCIM/context_n20250724144219781.jpg,DCIM/context_e20250724144215614.jpg,DCIM/context_s20250724144210965.jpg,DCIM/context_w20250724144205886.jpg,2025-07-24T14:41:29Z,15.36826273,49.64428731,DCIM/plot_e_20250724143958737.jpg,DCIM/plot_n_20250724144004899.jpg,TRUE,79,5,1.2,1.2
19,BO,small,1.3–2.0,2,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,716_T4_TP_20250827,NA,1,NA,NA,1,NA,1,1,Repelent,DCIM/context_n20250724144219781.jpg,DCIM/context_e20250724144215614.jpg,DCIM/context_s20250724144210965.jpg,DCIM/context_w20250724144205886.jpg,2025-07-24T14:41:29Z,15.36826273,49.64428731,DCIM/plot_e_20250724143958737.jpg,DCIM/plot_n_20250724144004899.jpg,TRUE,79,5,1.7,1.7
18,SM,advanced,2–4,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,717_T4_TP_20250827,NA,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724144621474.jpg,DCIM/context_e20250724144617005.jpg,DCIM/context_s20250724144611210.jpg,DCIM/context_w20250724144604967.jpg,2025-07-24T14:45:38Z,15.36798973,49.64430068,DCIM/plot_e_20250724144441168.jpg,DCIM/plot_n_20250724144452994.jpg,TRUE,79,5,3,3
7,OL,advanced,2–4,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,718_T4_TP_20250827,NA,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724150245009.jpg,DCIM/context_e20250724150240003.jpg,DCIM/context_s20250724150234368.jpg,DCIM/context_w20250724150227990.jpg,2025-07-24T15:01:51Z,15.36177976,49.65342935,DCIM/plot_e_20250724145857116.jpg,DCIM/plot_n_20250724145906631.jpg,TRUE,180,5,3,3
30,JR,advanced,2–4,2,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,718_T4_TP_20250827,NA,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724150245009.jpg,DCIM/context_e20250724150240003.jpg,DCIM/context_s20250724150234368.jpg,DCIM/context_w20250724150227990.jpg,2025-07-24T15:01:51Z,15.36177976,49.65342935,DCIM/plot_e_20250724145857116.jpg,DCIM/plot_n_20250724145906631.jpg,TRUE,180,5,3,3
7,OL,small,1.3–2.0,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,718_T4_TP_20250827,NA,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724150245009.jpg,DCIM/context_e20250724150240003.jpg,DCIM/context_s20250724150234368.jpg,DCIM/context_w20250724150227990.jpg,2025-07-24T15:01:51Z,15.36177976,49.65342935,DCIM/plot_e_20250724145857116.jpg,DCIM/plot_n_20250724145906631.jpg,TRUE,180,5,1.7,1.7
30,JR,small,1.3–2.0,1,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,718_T4_TP_20250827,NA,1,NA,NA,NA,NA,1,0,NA,DCIM/context_n20250724150245009.jpg,DCIM/context_e20250724150240003.jpg,DCIM/context_s20250724150234368.jpg,DCIM/context_w20250724150227990.jpg,2025-07-24T15:01:51Z,15.36177976,49.65342935,DCIM/plot_e_20250724145857116.jpg,DCIM/plot_n_20250724145906631.jpg,TRUE,180,5,1.7,1.7
